z (m),p (Pa),U (m/s),T (K),H,H2,O,O2,H2O,OH,H2O2,HO2,AR,N2
0.021111328124999995,101325.0,9.151077880474599,1319.2550174928388,0.001583795352289098,0.008472579517075697,0.004583076734612315,0.10415791409971958,0.1345178499488039,0.003691754915309651,0.00013825639644376628,3.618656299478487e-05,-5.552234838872283e-14,0.7428185864712126
0.021117187499999995,101325.0,9.28467298280548,1339.4480207702406,0.001623911535464777,0.008054198747993927,0.004778583776899854,0.0993658908343924,0.13912202869994994,0.00395580252586983,0.00013172847135293017,3.4425385850069164e-05,-3.051772033566186e-14,0.7429334300213355
0.021128906249999996,101325.0,9.538024995068566,1377.7367072671068,0.0016911665928957514,0.007292257634808803,0.005124459699065077,0.09037834675086456,0.14769317497529066,0.004492953592357816,0.00011739422812994738,3.133462896462019e-05,-3.0296154650985884e-14,0.7431789118970423
0.021140624999999996,101325.0,9.774083432438387,1413.42320807232,0.0017412592150913022,0.006629038457142555,0.0054108384224721435,0.08224626687887525,0.1553759452299976,0.005031959062323063,0.00010316478689930524,2.875196725797408e-05,-4.901150118224537e-14,0.7434327759788738
0.021152343749999997,101325.0,9.993444966819068,1446.6274178843205,0.001774993507226187,0.006060928313003865,0.005639745063909619,0.07501502914658549,0.16214735598079785,0.005563580909677987,9.021973064815831e-05,2.6623721288825385e-05,-4.375380368267388e-14,0.7436815236256704
0.021164062499999997,101325.0,10.197002026237566,1477.5053730313498,0.0017937849602140327,0.005581240736942571,0.0058158256207015745,0.06867906103774957,0.16803085244173893,0.006079675880977555,7.900976394629858e-05,2.4900805629493844e-05,-2.960850011353663e-14,0.74391564875119
0.021175781249999998,101325.0,10.385827897411488,1506.2321575823992,0.0017994367641639387,0.0051812959618118834,0.005945123949368949,0.06319475041878121,0.1730836154214622,0.006573497078665132,6.950681484825474e-05,2.3531605478683933e-05,-2.862084518984703e-14,0.744129241984756
0.021187499999999998,101325.0,10.561077235469511,1532.9882280307943,0.0017939348180389554,0.004851410179271773,0.0060341079002636105,0.058493492084006046,0.1773839892228986,0.0070398316448738365,6.148885491970986e-05,2.246149175212609e-05,-4.112344661943733e-14,0.7443192838029443
0.02119921875,101325.0,10.72390865443086,1557.949421261695,0.0017792807614853317,0.0045817026731267176,0.006089016357290226,0.0544931270097277,0.18102062870685307,0.007475036719701539,5.4702200965790625e-05,2.1636284314421006e-05,-3.6010712707287425e-14,0.7444848692859589
0.0212109375,101325.0,10.875429632501602,1581.2802897261424,0.0017573707210067084,0.004362686809411296,0.0061154994163415705,0.051106969399513986,0.18408409566818035,0.007876958039090626,4.892254787652724e-05,2.1005732413814086e-05,-5.5391607140137365e-14,0.7446264916652005
